Mixture	Astrocyte	Endothelial	Microglia	Excitatory	Inhibitory	Oligo	P-value	Correlation	RMSE
Inputs.15_SSb	0.1436645397603	0.00429107711643641	0	0.81895262723684	0	0.0330917558864233	0	0.455052038740664	0.900210335275724
Inputs.15_SSc	0.128519953688169	0.00397460023950843	0	0.799792266472415	0	0.0677131795999076	0	0.472214113052163	0.893394542585768
Inputs.1_PAGa	0.205666985621136	0.000696388296902339	0	0.215713069694957	0.427643261941817	0.150280294445188	0	0.512485189486726	0.867070117356624
Inputs.1_PAGb	0.203298169995528	0.00541944975812839	0	0.230447241816359	0.39487219456769	0.165962943862296	0	0.518332024019519	0.862665774239089
Inputs.1_PAGc	0.186367342674206	0	0	0.251507677420567	0.378152575391043	0.183972404514184	0	0.524585952510901	0.858866888887862
Inputs.1_SCa	0.282559532450081	0.0203454318735387	0	0.232073148668222	0.165103643393802	0.299918243614357	0	0.525508889519065	0.85312551429826
Inputs.1_SCb	0.259377345638415	0.0185842985200642	0	0.255761489898798	0.175358038621595	0.290918827321128	0	0.535491300189107	0.845155384632402
Inputs.1_SCc	0.269225776493879	0.0115759973397676	0	0.244689025357943	0.210288730282151	0.264220470526259	0	0.541051650653981	0.841053409691177
Inputs.1_SSa	0.12539386691288	0.0152899871627157	0	0.776459442667267	0	0.0828567032571373	0	0.451137846056929	0.900758326300714
Inputs.1_SSb	0.115360851508365	0.018194569764731	0	0.786959038379341	0	0.0794855403475632	0	0.467258376560888	0.895366764930997
Inputs.1_SSc	0.13772694302577	0.0080921114527928	0	0.806385292185707	0	0.0477956533357301	0	0.468535964044458	0.895044509033703
Inputs.2_PAGa	0.197317340132968	0.00447956579202859	0	0.161851856626302	0.441822123280572	0.194529114168129	0	0.509771689180404	0.864571137320708
Inputs.2_PAGb	0.215459110344951	0.00172688166658202	0	0.204423417326933	0.411593927402486	0.166796663259048	0	0.49193066484845	0.874637561474459
Inputs.2_SCa	0.268167106526604	0.017581324394288	0	0.23819701105102	0.204546388633937	0.271508169394151	0	0.522693769348482	0.853038553076976
Inputs.2_SCb	0.268343395785834	0.0165450386157911	0	0.254595677414601	0.162818862251928	0.297697025931845	0	0.553247894839483	0.833362540414763
Inputs.2_SCc	0.253462259145389	0.0193600174742272	0	0.251223471198203	0.190177213963373	0.285777038218809	0	0.507483216084277	0.863276907347131
Inputs.2_SSa	0.119342326628912	0.0181375450346764	0	0.780132248192536	0	0.0823878801438758	0	0.463360328802259	0.896421639480724
